file,n_haps,BIC
Inference_10_1234.out,10,81282.9
Inference_10_2345.out,10,89316.1
Inference_10_3456.out,10,111707
Inference_10_4567.out,10,90180.9
Inference_10_5678.out,10,79990.4
Inference_11_1234.out,11,104961
Inference_11_2345.out,11,83291.1
Inference_11_3456.out,11,81078.5
Inference_11_4567.out,11,78223.8
Inference_11_5678.out,11,79196.9
Inference_12_1234.out,12,86126
Inference_12_2345.out,12,85594.8
Inference_12_3456.out,12,116410
Inference_12_4567.out,12,89530.6
Inference_12_5678.out,12,83327.2
Inference_13_1234.out,13,92089.7
Inference_13_2345.out,13,84097.4
Inference_13_3456.out,13,91590.9
Inference_13_4567.out,13,87807.1
Inference_13_5678.out,13,85160.5
Inference_14_1234.out,14,93483.1
Inference_14_2345.out,14,87570.1
Inference_14_3456.out,14,92961.5
Inference_14_4567.out,14,92985.2
Inference_14_5678.out,14,96486.2
Inference_15_1234.out,15,81844
Inference_15_2345.out,15,107316
Inference_15_3456.out,15,82432.6
Inference_15_4567.out,15,114646
Inference_15_5678.out,15,85184.5
Inference_16_1234.out,16,95357.4
Inference_16_2345.out,16,87048.8
Inference_16_3456.out,16,89445.3
Inference_16_4567.out,16,74110.4
Inference_16_5678.out,16,82748.3
Inference_17_1234.out,17,113432
Inference_17_2345.out,17,90355.3
Inference_17_3456.out,17,90956.2
Inference_17_4567.out,17,86081.6
Inference_17_5678.out,17,77726.3
Inference_18_1234.out,18,84283.6
Inference_18_2345.out,18,83659
Inference_18_3456.out,18,91901.1
Inference_18_4567.out,18,74818.6
Inference_18_5678.out,18,99727.9
Inference_19_1234.out,19,83842.8
Inference_19_2345.out,19,81780.9
Inference_19_3456.out,19,86758.1
Inference_19_4567.out,19,86655.7
Inference_19_5678.out,19,82818.7
Inference_20_1234.out,20,83539.6
Inference_20_2345.out,20,81231.7
Inference_20_3456.out,20,78820.8
Inference_20_4567.out,20,104587
Inference_20_5678.out,20,102459
Inference_21_1234.out,21,92409.2
Inference_21_2345.out,21,84910.4
Inference_21_3456.out,21,105498
Inference_21_4567.out,21,108101
Inference_21_5678.out,21,80501.3
Inference_22_1234.out,22,89765.5
Inference_22_2345.out,22,87197.8
Inference_22_3456.out,22,87815.4
Inference_22_4567.out,22,84260
Inference_22_5678.out,22,80610.5
Inference_23_1234.out,23,89296.2
Inference_23_2345.out,23,90267
Inference_23_3456.out,23,98006.8
Inference_23_4567.out,23,104843
Inference_23_5678.out,23,98866.4
Inference_24_1234.out,24,85652.7
Inference_24_2345.out,24,83938.1
Inference_24_3456.out,24,83877.4
Inference_24_4567.out,24,89275.8
Inference_24_5678.out,24,82107.5
Inference_25_1234.out,25,110655
Inference_25_2345.out,25,88437.7
Inference_25_3456.out,25,94076.3
Inference_25_4567.out,25,97516.3
Inference_25_5678.out,25,88203.6
Inference_26_1234.out,26,96914.7
Inference_26_2345.out,26,87935.4
Inference_26_3456.out,26,105508
Inference_26_4567.out,26,98295.4
Inference_26_5678.out,26,95677.2
Inference_27_1234.out,27,85390.1
Inference_27_2345.out,27,106547
Inference_27_3456.out,27,90617.5
Inference_27_4567.out,27,93447.6
Inference_27_5678.out,27,99386.9
Inference_28_1234.out,28,110748
Inference_28_2345.out,28,84090.7
Inference_28_3456.out,28,105418
Inference_28_4567.out,28,111759
Inference_28_5678.out,28,90067.5
Inference_29_1234.out,29,93965.9
Inference_29_2345.out,29,80099.7
Inference_29_3456.out,29,77350.2
Inference_29_4567.out,29,107814
Inference_29_5678.out,29,103110
Inference_30_1234.out,30,96905.6
Inference_30_2345.out,30,86224
Inference_30_3456.out,30,102857
Inference_30_4567.out,30,95747.1
Inference_30_5678.out,30,91176.5
Inference_4_1234.out,4,114946
Inference_4_2345.out,4,127620
Inference_4_3456.out,4,107500
Inference_4_4567.out,4,100686
Inference_4_5678.out,4,104339
Inference_5_1234.out,5,103233
Inference_5_2345.out,5,94220.5
Inference_5_3456.out,5,109586
Inference_5_4567.out,5,113294
Inference_5_5678.out,5,89027.6
Inference_6_1234.out,6,85632.1
Inference_6_2345.out,6,92891.9
Inference_6_3456.out,6,93006.6
Inference_6_4567.out,6,95388.6
Inference_6_5678.out,6,90388.9
Inference_7_1234.out,7,85425.6
Inference_7_2345.out,7,93392.4
Inference_7_3456.out,7,88805.7
Inference_7_4567.out,7,85184.4
Inference_7_5678.out,7,91096.8
Inference_8_1234.out,8,91025.1
Inference_8_2345.out,8,91761.5
Inference_8_3456.out,8,106424
Inference_8_4567.out,8,89363.8
Inference_8_5678.out,8,121249
Inference_9_1234.out,9,84521.8
Inference_9_2345.out,9,100644
Inference_9_3456.out,9,114713
Inference_9_4567.out,9,85231.2
Inference_9_5678.out,9,90635.1
